time,motion,distance
1683736644.078884,0.0,162.91
1683736645.4088218,0.0,164.15
1683736646.694041,1.0,164.58
1683736648.5093915,0.0,162.89
1683736650.0275233,0.0,165.02
1683736651.4524393,1.0,162.45
1683736652.6820815,0.0,125.9
1683736654.2166843,0.0,164.99
1683736655.545345,0.0,163.71
1683736656.8431146,1.0,163.29
1683736658.209561,0.0,162.86
1683736659.3174825,0.0,99.04
1683736660.4203088,0.0,62.97
1683736661.539071,1.0,57.83
1683736662.642311,0.0,60.49
1683736663.795751,0.0,69.14
1683736664.9704545,0.0,75.46
1683736666.198016,0.0,63.1
1683736667.308781,0.0,56.27
1683736668.9660695,0.0,59.36
1683736670.1901126,0.0,57.53
1683736671.4196823,0.0,58.34
1683736672.7479591,0.0,44.78
1683736674.642296,0.0,46.09
1683736676.1430967,0.0,46.27
1683736678.007783,1.0,49.95
1683736679.7441146,0.0,69.07
1683736681.3734047,0.0,163.64
1683736682.7860837,1.0,162.4
1683736683.8947184,0.0,164.13
1683736685.300431,0.0,164.95
1683736687.5203807,0.0,138.19
1683736688.7837057,0.0,161.16
1683736690.1759632,0.0,162.83
1683736691.2898648,0.0,164.97
1683736692.4109144,0.0,164.97
1683736693.5294604,1.0,164.12
1683736694.7672124,0.0,163.29
1683736696.3213456,0.0,163.69
1683736697.539219,0.0,165.39
1683736699.0709808,1.0,165.39
1683736700.1866252,0.0,165.84
1683736701.6368883,0.0,163.29
1683736703.061283,0.0,163.71
1683736704.179206,0.0,166.26
1683736705.8301318,0.0,164.54
1683736706.9435976,0.0,164.97
1683736708.0627072,0.0,164.12
1683736709.1737545,1.0,164.1
1683736710.278817,0.0,163.71
1683736711.385952,0.0,163.69
1683736712.5834436,0.0,165.41
1683736713.7029593,0.0,164.1
1683736714.807325,1.0,164.13
1683736715.911436,0.0,164.97
1683736717.0467734,0.0,165.82
1683736718.448809,0.0,166.24
1683736719.6505158,1.0,163.27
1683736721.2847557,0.0,162.43
1683736722.7209074,0.0,164.1
1683736723.951738,0.0,163.68
1683736725.2363312,0.0,165.84
1683736726.4086235,0.0,165.39
1683736727.7380764,0.0,164.54
1683736729.1721087,0.0,164.12
1683736730.4203074,0.0,164.97
1683736731.635507,0.0,165.39
1683736732.8592203,0.0,163.68
1683736734.5088131,0.0,166.23
