time,xmin,ymin,xmax,ymax,confidence,class
1683736651.2012837,0.277670681476593,0.0167254451662302,0.9993206262588501,0.9938274025917053,0.9074949622154236,person
1683736652.2841384,0.7720898389816284,0.05094989016652107,0.9975724220275879,bicycle,0.8348281979560852,person
1683736653.2966259,0.7798804640769958,0.02536592446267605,0.9973576068878174,0.9846338629722595,0.8792384266853333,person
1683736654.450588,0.7803103923797607,0.07606465369462967,0.9973766803741455,0.9967052936553955,0.8412601351737976,person
1683736655.1407578,0.5711429715156555,0.06779956817626953,bicycle,bicycle,0.8537941575050354,person
1683736656.2412744,0.5777801275253296,0.036531828343868256,0.9979142546653748,bicycle,0.8172512650489807,person
1683736657.1764297,0.6058855652809143,0.028395939618349075,0.9952373504638672,0.9989837408065796,0.7521260380744934,person
1683736658.2055693,0.5894424319267273,0.03198862075805664,0.997343897819519,0.9984035491943359,0.8303776383399963,person
1683736659.348651,0.5971185564994812,0.06368471682071686,0.9952161312103271,bicycle,0.6920172572135925,person
1683736660.5731251,0.22199520468711853,0.22872669994831085,0.815836489200592,bicycle,0.8582090139389038,person
1683736661.1616132,0.17326581478118896,0.34046390652656555,0.6828271746635437,bicycle,0.8856304287910461,person
1683736662.2116964,0.1268925666809082,0.3453572690486908,0.6959956884384155,bicycle,0.8145118355751038,person
1683736663.1373563,0.10739044845104218,0.3535144031047821,0.6757544875144958,bicycle,0.8430684208869934,person
1683736664.54007,0.11026541888713837,0.34857678413391113,0.6766127943992615,bicycle,0.870423436164856,person
1683736665.5874977,0.1168384999036789,0.3429644703865051,0.6920293569564819,bicycle,0.8520607352256775,person
1683736666.4122572,0.11780095100402832,0.33816322684288025,0.6921321153640747,bicycle,0.8329035043716431,person
1683736667.6225376,0.11954526603221893,0.33949097990989685,0.6955260634422302,bicycle,0.8441517949104309,person
1683736668.6601126,0.10316488146781921,0.3443869352340698,0.6834847331047058,bicycle,0.8475286960601807,person
1683736669.2158847,0.1087837889790535,0.3190636932849884,0.6624946594238281,bicycle,0.8997014164924622,person
1683736670.2484572,0.06011486053466797,0.32770678400993347,0.6260617971420288,bicycle,0.8269234299659729,person
1683736671.3063977,0.014321470633149147,0.3647918403148651,0.6001650094985962,bicycle,0.9096981287002563,person
1683736672.9584048,0.033704377710819244,0.35070735216140747,0.6119192242622375,bicycle,0.9079326391220093,person
1683736674.6253028,0.03528270870447159,0.3514011800289154,0.6167581677436829,bicycle,0.8834144473075867,person
1683736676.3319378,0.03471102565526962,0.3437366485595703,0.6166989207267761,bicycle,0.8900570273399353,person
1683736678.3288379,0.03350787237286568,0.33584776520729065,0.6210049986839294,bicycle,0.8760117888450623,person
1683736679.8251343,0.08728589862585068,0.32091742753982544,0.6357465982437134,bicycle,0.8152307271957397,person
1683736680.6124754,0.3294330835342407,0.1288185715675354,0.9790267944335938,bicycle,0.8818631172180176,person
1683736682.573095,0.4982174336910248,0.008993243798613548,0.994672417640686,0.9961645603179932,0.8090196251869202,person
1683736683.7081444,0.5659210085868835,0.0022678375244140625,0.9970276355743408,0.9806420803070068,0.7674568891525269,person
1683736684.407058,0.5848184823989868,0.008763185702264309,0.9985023736953735,0.9875683784484863,0.7837706208229065,person
1683736685.7568336,0.6277979612350464,0.008740170858800411,0.9943664073944092,0.9817717671394348,0.8468614220619202,person
1683736687.0163658,0.6070137619972229,0.010287570767104626,0.997192919254303,0.981079638004303,0.7837529182434082,person
1683736688.2410152,0.6099850535392761,0.01296081580221653,0.9961384534835815,0.9901979565620422,0.8050549030303955,person
1683736688.9850457,0.6060497164726257,0.018114089965820312,0.9958855509757996,0.9827193021774292,0.8125036358833313,person
1683736689.8943465,0.6030747294425964,0.014390754513442516,0.9953429698944092,0.9858903288841248,0.7583611607551575,person
1683736691.9985173,0.6020408868789673,0.010997549630701542,0.9957848191261292,0.9840196967124939,0.798190176486969,person
1683736692.8033001,0.5985703468322754,0.008415253832936287,0.9960059523582458,0.9874493479728699,0.7957184910774231,person
1683736693.5768926,0.6069755554199219,0.006930128671228886,0.994629442691803,0.9899492263793945,0.7957891821861267,person
1683736694.684345,0.6225073337554932,0.003302129218354821,0.996330201625824,0.983917236328125,0.8974100947380066,person
1683736695.6284602,0.7795989513397217,person,0.9976855516433716,0.9945330023765564,0.8460092544555664,person
1683736696.6097474,0.7826706171035767,person,0.9986276030540466,bicycle,0.7666961550712585,person
1683736697.6687682,0.6337776780128479,person,0.9969119429588318,bicycle,0.8923161625862122,person
1683736698.636253,0.6313797235488892,person,0.9930458068847656,bicycle,0.8683218359947205,person
1683736699.6469667,0.7175581455230713,0.04865226894617081,0.9994977712631226,0.9978749752044678,0.8605611324310303,person
1683736700.5984056,0.6587486267089844,0.01582101173698902,0.9966098666191101,0.9556480646133423,0.9021484851837158,person
1683736701.8157275,0.6112642884254456,0.005203819368034601,0.9912928938865662,0.9971723556518555,0.8934007883071899,person
1683736702.5862358,0.7488381862640381,0.06437645107507706,0.9980920553207397,bicycle,0.8693804144859314,person
1683736704.0990632,0.7464710474014282,0.07414642721414566,0.9980721473693848,0.9964920878410339,0.8710079789161682,person
1683736704.8406374,0.7534705400466919,0.08802054822444916,0.998616099357605,bicycle,0.78328537940979,person
1683736705.7875113,0.6154015064239502,0.041821446269750595,0.9982365369796753,bicycle,0.8088356852531433,person
1683736707.2637973,0.6365204453468323,0.05640633776783943,0.9974396228790283,0.9907108545303345,0.7937085032463074,person
1683736708.3091946,0.7339054942131042,person,0.996056318283081,bicycle,0.8792984485626221,person
1683736709.2117546,0.653983473777771,person,0.9985198974609375,bicycle,0.8779218196868896,person
1683736710.6133022,0.6600551009178162,person,0.998191773891449,bicycle,0.873175859451294,person
1683736711.2900684,0.6485024094581604,person,bicycle,bicycle,0.7059071660041809,person
1683736712.2911227,0.6515544056892395,0.0027661642525345087,0.9996100664138794,bicycle,0.7084473371505737,person
1683736713.29192,0.6554208397865295,0.006584008689969778,bicycle,0.9972355365753174,0.7441767454147339,person
1683736714.4289083,0.654120683670044,0.004964796826243401,bicycle,0.9950341582298279,0.7593186497688293,person
1683736715.5285108,0.6599965691566467,0.008253669366240501,0.9988786578178406,bicycle,0.8092586398124695,person
1683736716.4763894,0.6654156446456909,0.004757690243422985,0.9981346726417542,0.9982982277870178,0.8669064044952393,person
1683736717.2411609,0.656585693359375,0.00199743895791471,0.9975658655166626,bicycle,0.8748770952224731,person
1683736719.3871784,0.650707483291626,0.0020973840728402138,0.9964160919189453,0.998534619808197,0.8119961619377136,person
1683736720.1313596,0.3697064220905304,0.007201194763183594,0.9961497783660889,0.9850606322288513,0.5136603713035583,person
1683736722.6433482,0.005356502719223499,0.01830190047621727,0.9659150838851929,0.9918642044067383,0.6935845613479614,person
1683736723.4618678,0.006445693783462048,person,0.9480429887771606,bicycle,0.6108592748641968,person
1683736724.4076183,0.010143089108169079,person,0.9540585875511169,bicycle,0.5958850383758545,person
1683736725.9905422,person,0.0020206132903695107,0.9845201373100281,0.9177929759025574,0.6682485342025757,person
1683736726.9292796,0.024917030707001686,0.004182783886790276,0.9878052473068237,0.978866696357727,0.5036054253578186,person
1683736727.9576921,0.0007046699756756425,0.007334677502512932,0.9679356217384338,0.9795542359352112,0.6535518765449524,person
1683736728.7595778,0.005655050277709961,0.004276593681424856,0.9688802361488342,bicycle,0.6794602274894714,person
1683736729.965795,person,4.482269105210435e-06,0.9732560515403748,bicycle,0.5979958772659302,person
1683736730.85532,0.014688300900161266,5.076726301922463e-05,0.9640222191810608,bicycle,0.6293811202049255,person
1683736731.7967522,5.6886674428824335e-05,0.002577368402853608,0.9544450640678406,bicycle,0.6444481015205383,person
1683736732.839093,person,0.0016667683375999331,0.9630073308944702,bicycle,0.6393972635269165,person
1683736735.9473114,0.013805389404296875,0.0010465939994901419,0.9538228511810303,bicycle,0.6338451504707336,person
